h_2005,facine3,p2_1,p2_8,p2_32,p2_69,p2_82,p2_5,p2_84,p2_70,p2_71,p4_10,p4_27,p4_33,p4_7_3,p4_15,p4_24,p4_35,np1,np2_1,np4_5,np4_18,renthog,percrent,bage,nsitlabdom,neducdom,nnumadtrab,havenegval,tienereal,cuentas,penseg,sideuda,tienefin,tiene,otraspr,valhog,allf,salcuentas,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,deuda_tarj,ptmos_tarj,otrasd,potrasd,adeuda,vdeuda,deuotros,actreales,actfinanc,riquezabr,riquezanet,percriq,deuinvref,deuveh,deubie,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,p5_1,multipr,sex,educ,p2_2,p2_1.1,pagopr_vivpr,np2_5,p2_8.1,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1.1,empre,auton,riquezafin,deuda_vivienda,s6_owner,valor
3148,2984.66092470979,2,1,2,2,1,162273.27,12020.24,,24040.48,2,2,2,3005.06,,,,1,1,1,0,15581.2361,2,4,1,3,1,0,1,0,0,0,1,1,0,0,,0,0,0,24040.48,0,0,1,24040.48,0,0,0,0,0,0,0,0,1,24040.48,0,138232.79,3005.06,177298.57,153258.09,2,0,0,0,350,3000,9000,0,0,0,0,1,1,2,10,1,2,350,162273.27,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,24040.48,0,0
3149,2240.34740491208,2,,2,1,1,240404.84,3606.07,1382.33,30000,2,2,2,,,,,2,1,0,0,16071.426,2,5,5,1,0,0,1,1,0,0,1,1,0,0,,3606.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240404.84,3606.07,247616.98,247616.98,3,0,0,0,0,4800,4176,0,0,1,601.01,1,1,1,2,1,2,0,240404.84,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
3150,4565.24686137408,2,2,2,1,1,258435.2,601.01,450,9583.6,2,2,2,,,,,1,1,0,0,7325.7828,1.4,5,4,1,0,0,1,1,0,0,1,1,0,0,,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258435.2,2000,261036.21,261036.21,3,0,0,0,0,1920,480,0,0,0,0,1,1,2,2,1,2,0,258435.2,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,0,,2,,,0,0,0,0
3151,1958.83694360117,2,2,2,2,2,48080.97,,,6010.12,2,2,2,1803.04,,,,2,1,1,0,14646.3600625391,2,5,5,1,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48080.97,1803.04,49884.01,49884.01,1,0,0,0,0,7212.1201171875,3606.1201171875,0,0,1,711,1,1,2,2,1,2,0,48080.97,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
3152,2289.80882350656,2,2,2,1,2,210354.24,,600,12000,2,2,2,9000,,,,4,1,1,0,15.58611,1,2,4,1,1,0,1,1,1,0,1,1,0,0,,8000,7212.14,0,0,0,0,0,0,0,0,0,0,0,0,1,1025,1,1025,1025,210354.24,24212.14,234566.38,233541.38,3,0,0,1025,35,7800,3000,0,0,1,6000,0,1,2,8,1,2,0,210354.24,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,1,,,0,0,0,7212.14
3153,2054.69999633738,2,2,2,2,2,240404.84,,,17000,2,2,2,30,,,,3,1,1,0,33385.1779392383,4,5,5,1,1,0,1,1,0,0,1,1,0,0,,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240404.84,3030,243434.84,243434.84,3,0,0,0,0,12000,2400,0,0,1,6000,1,1,1,2,1,2,0,240404.84,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
3154,10272.9916119823,2,2,2,1,2,180000,,3000,18000,2,2,2,1000,,,,1,1,1,0,36606.1,4,2,1,3,1,0,1,1,1,0,1,1,0,0,,10000,18500,0,0,0,0,0,0,0,0,0,0,0,0,1,8500,1,8500,8500,180000,29500,209500,201000,3,0,8500,0,440,1800,5400,1,15000,1,11000,0,1,2,12,1,2,0,180000,2,0,,,,,,,,,,0,,,,0,,2,1,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,0,0,18500
3155,1958.83694360117,2,,1,2,2,48080.97,,,6010.12,2,2,2,6010.12,,,,2,1,1,0,7607.432,1,6,5,1,0,0,1,0,0,0,1,1,24040.48,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72121.45,6010.12,78131.57,78131.57,2,0,0,0,0,2400,2400,0,0,0,0,1,0,1,2,2,2,0,48080.97,,0,1,2,,,3,,,,5,0,,,,0,,2,2,6010.12,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,1,0
3156,267.588325574227,2,2,1,1,1,210354.24,1202.02,480.81,18030.36,2,1,2,18030.36,,,,4,1,1,0,68234.6,6,3,1,3,2,0,1,0,1,0,1,1,90151.82,0,193349.79,0,18030.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300506.06,229410.52,531118.6,531118.6,4.8,0,0,0,0,12000,12000,0,0,1,601.01,0,0,1,10,1,2,0,210354.24,2,0,1,3,,,1,,,,2,0,,,,0,,2,2,22537.955,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,193349.79,0,1,18030.37
3157,5995.50472785192,2,,2,2,2,120202.42,,,6010.12,2,2,2,100,,,,2,1,1,0,8586.36,1,4,3,1,1,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120202.42,100,120302.42,120302.42,2,0,0,0,0,4800,2400,0,0,1,1202.02,1,1,2,4,1,2,0,120202.42,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
3158,2341.24385745042,2,,1,2,2,60101.21,,,30050.61,2,2,2,3000,,,,5,1,1,0,33532.8468,3.8,2,6,1,1,0,1,1,1,0,1,1,336566.78,0,,25000,7000,0,0,0,0,0,0,0,0,1,27030.36,0,0,0,0,1,27030.36,27030.36,396667.99,35000,431667.99,404637.63,4,18030.36,9000,0,650,1800,3000,1,20000,1,27045.54,0,0,1,4,2,2,0,60101.21,,0,2,1,2,,1,3,,,7,0,,,,0,,2,2,84141.695,0,,,,,0,1,0,0,0,0,0,0,2,2,2,1,1,1,2,1,0,0,1,7000
3159,975.007885542016,2,2,1,2,1,227561.2,5559.2,,20000,2,2,2,20076.2,,,,5,1,1,0,14518,2,4,6,1,2,0.8,1,1,1,0,1,1,165241.2,84057.6,,6559,16312.4,0,0,0,0,0,0,0,0,1,2500,0,0,0,0,1,2500,2500,392802.4,42947.6,525366.8,522866.8,4.4,0,2500,0,147,7800,600,0,0,1,29205.2,0,0,1,4,1,2,0,227561.2,2,0,1,1,,,1,,,,2,0,,,,0,,2,2,41310.3,0,,,,,0,1,0,0,0,0,0,0,2,2,2,1,1,1,2,1,0,0,1,16312.4
3160,3245.54183435915,2,,1,2,2,60101.21,,,18030.36,2,2,2,14000,,,,2,1,1,0,7466.4,1,4,2,1,1,1,1,0,0,0,1,1,55768.565,106184,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115869.775,14000,236053.775,236053.775,3,0,0,0,0,4800,1200,0,0,1,600,1,0,1,2,1,2,0,60101.21,,0,5,2,2,1,1,3,3,3,6,0,,,,0,,2,2,20324.7325,0,,,,,0,1,0,0,0,0,0,0,2,2,1,1,,2,2,1,0,0,1,0
3161,2695.74425556325,2,,2,2,2,48080.97,,,12000,2,2,2,5000,,,,1,1,1,0,5923.344,1,4,5,1,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48080.97,5000,53080.97,53080.97,1,0,0,0,0,6600,600,0,0,0,0,1,1,2,2,1,2,0,48080.97,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
3162,21.7662014662719,2,,1,2,2,345862.8,,,33188.6,1,2,2,18030.36,48080.97,,,3,1,1,0,31367.176,3.6,4,6,3,2,1,1,0,1,0,1,1,965980.4,993022.4,,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311843.2,76111.33,2380976.93,2380976.93,5,0,0,0,0,6000,10480.8,0,0,0,0,0,0,1,10,1,2,0,345862.8,,0,3,2,2,2,1,3,3,3,2,0,,,,0,,2,2,241495.1,0,815.6,,,,0,1,0,0,0,0,0,0,2,2,2,2,1,1,2,1,48080.97,0,1,10000
3163,1484.44952665418,2,1,2,1,1,540910.89,8000,15000,24000,2,2,2,13500,,,,4,1,1,0,54804.6204,5.2,2,1,1,1,0,1,1,0,0,1,1,0,0,,12000,0,0,270455.45,0,0,1,270455.45,0,0,0,0,0,0,0,0,1,270455.45,0,270455.44,25500,574410.89,303955.44,4,0,0,0,1020,7200,1800,0,0,1,9000,1,1,1,4,1,2,1020,540910.89,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,270455.45,0,0
3164,884.276935179102,2,,1,1,1,170000,29219.6,3400,66585.8,2,2,2,24000,,,,3,1,1,0,33806.2,4,5,6,2,0,0,1,0,0,0,1,1,1502530.25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672530.25,24000,1725749.85,1725749.85,5,0,0,0,0,3600,10800,1,17000,1,23202.02,1,0,1,6,2,2,0,170000,,0,4,1,3,3,3,1,3,3,5,0,,,,0,,2,2,375632.5625,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,1,2,,,0,0,1,0
3165,273.544325721873,2,2,2,2,2,156090.6,,,20284.6,2,2,2,2760.2,,,,4,1,1,0,15670.107,2,3,6,2,2,0,1,1,1,0,1,1,0,0,,82791.8,63629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156090.6,149181,305271.6,305271.6,3.6,0,0,0,0,7200,7200,0,0,1,14981.6,0,1,2,2,1,2,0,156090.6,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,2,0,1,1,,,0,0,0,63629
3166,3267.74512918927,2,1,2,2,2,111187.24,,,3000,2,2,2,25,,,,2,1,1,0,8324.6212,1.2,4,4,2,1,0,1,0,1,0,1,1,0,0,,0,749.2,0,33200,0,0,1,33200,0,0,1,4014.6,0,0,0,0,1,37214.6,4014.6,77987.24,774.2,111961.44,74746.84,2,0,0,4014.6,281.049999237061,1800,600,0,0,0,0,0,1,2,6,1,2,251,111187.24,1,0,,,,,,,,,,0,,,,1,100,2,1,0,0,,,,,0,0,0,0,1,0,0,0,0,0,1,0,,1,,,0,33200,0,749.2
3167,1891.94990077878,2,1,1,1,2,270455.45,,2000,30000,2,2,2,2000,,,,4,1,1,0,36813.5,4,4,1,3,2,0,1,0,0,0,1,1,60101.21,0,,0,0,0,46500,0,0,1,46500,0,0,0,0,0,0,0,0,1,46500,0,284056.66,2000,332556.66,286056.66,3,0,0,0,350,9600,8400,1,24000,1,18000,1,0,1,11,1,2,350,270455.45,1,0,1,1,,,1,,,,2,0,,,,0,,2,2,15025.3025,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,46500,1,0
3168,216.558762208953,2,,1,2,2,1202024.21,,,18030.36,2,2,2,,,,,2,1,0,0,11821.8,2,6,6,1,0,0,1,1,0,0,1,1,306516.17,0,,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508540.38,5000,1513540.38,1513540.38,5,0,0,0,0,8400,99600,0,0,1,3000,1,0,1,4,1,2,0,1202024.21,,0,4,2,1,1,1,4,5,5,2,0,,,,0,,2,2,76629.0425,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,1,2,,,0,0,1,0
3169,9740.6383332762,2,1,2,2,2,150253.03,,,9000,2,2,2,3000,,,,5,1,1,0,82979.703,6,3,6,1,3,1,1,0,0,0,1,1,0,63171.8,,0,0,0,41193.4,0,0,1,41193.4,0,0,0,0,0,0,0,0,1,41193.4,0,109059.63,3000,216424.83,175231.43,2.6,0,0,0,300,9600,14400,0,0,1,600,1,1,1,2,1,2,300,150253.03,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,1,0,0,0,0,0,0,2,2,2,1,1,2,2,1,0,41193.4,0,0
3170,1466.53495504793,2,2,1,1,1,84141.69,3000,1000,38541.6,2,2,2,1000,,,,2,1,1,0,12001.55358,2,4,1,1,0,0,1,1,1,0,1,1,204344.11,0,,12000,6017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288485.8,19017,310502.8,310502.8,4,0,0,0,0,7200,10137.6,0,0,1,3000,0,0,1,2,1,2,0,84141.69,2,0,2,1,2,,1,1,,,2,270.459991455078,3173.34,,,0,,2,2,51086.0275,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,1,,,0,0,1,6017
3171,3254.63301993474,2,1,1,1,2,480809.68,,1021.72,9015.18,2,2,2,1803.04,,,,4,1,1,0,18689.0214,2.4,4,6,2,2,1,1,0,0,1,1,1,288485.81,1021.72,,0,0,18030.36,12020.24,0,0,1,12020.24,1,12020.24,0,0,0,0,0,0,1,24040.48,12020.24,757275.25,19833.4,790150.61,766110.13,5,0,0,12020.24,569.509994506836,6490.91967773438,5048.52026367188,1,9616.19,1,15025.3,1,0,1,6,1,2,324,480809.68,1,0,2,1,97,,1,8,,,2,0,,,,0,,2,2,72121.4525,0,,,,,0,1,0,0,0,0,0,0,2,2,1,1,1,2,2,3,0,12020.24,1,0
3172,10468.1763639366,2,2,2,2,2,240404.84,,,18030.36,2,2,2,400,,,,2,1,1,0,31834.863,4,1,1,2,1,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240404.84,400,240804.84,240804.84,3,0,0,0,0,6600,6600,0,0,1,8414.17,1,1,2,8,1,2,0,240404.84,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
3173,133.36836772643,2,,1,2,1,180303.63,3839.2,,18030.36,2,2,2,60101.21,,,,4,1,1,0,38377.46192,4,5,6,2,1,0,1,1,0,0,1,1,1021720.57,0,,18030.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202024.2,78131.57,1283994.97,1283994.97,5,0,0,0,0,6000,2400,0,0,1,4808.1,1,0,1,8,1,2,0,180303.63,,0,4,1,1,1,97,1,1,1,3,2614.39004516602,27045.54,,,0,,1,2,255430.1425,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,1,2,,,0,0,1,0
3174,2061.53030963853,3,,1,1,2,,,1200,15000,2,2,2,36060.73,,,,3,0,1,0,26147.61279,3,3,6,2,2,1,1,1,1,1,1,1,459827.25,16222.646,,276465.57,7212.14,60101.21,0,1,78131.57,0,0,0,0,1,3500,0,0,0,0,1,81631.57,3500,381695.68,379839.65,855889.546,774257.976,5,0,3500,0,750.25,8654.52026367188,20194.0803222656,0,0,1,17729.85,0,0,1,6,,3,0,,,0,2,1,1,,1,1,,,5,0,,,,0,,2,,114956.8125,0,,,,,0,1,0,0,0,0,0,0,2,2,2,1,1,1,2,1,0,78131.57,1,7212.14
3175,2212.86486900529,2,,2,2,2,90151.82,,,18030.36,2,2,2,18.03,,,,1,1,1,0,18567.6924,2.4,6,5,1,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90151.82,18.03,90169.85,90169.85,2,0,0,0,0,3600,2400,0,0,0,0,1,1,2,2,1,2,0,90151.82,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
3176,40.2072984158503,2,,2,2,2,120202.42,,,24040.48,2,2,2,3.85,,,,1,1,1,0,8710.8,1,5,5,1,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120202.42,3.85,120206.27,120206.27,2,0,0,0,0,4800,2880,0,0,0,0,1,1,1,2,1,2,0,120202.42,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
3177,132.194788223302,2,,1,2,1,180303.63,3005.06,,24040.48,1,2,2,22558.4,28766,,,1,1,1,0,23219.6744,2.8,4,4,2,0,0,1,0,0,0,1,1,372121.45,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552425.08,51324.4,606754.54,606754.54,5,0,0,0,0,4327.31982421875,2884.80029296875,0,0,1,3005.06,1,0,2,6,1,2,0,180303.63,,0,2,1,1,,2,97,,,6,0,,,,0,,2,2,168030.3625,0,1967.6,,,,0,0,0,0,0,0,1,0,0,0,,0,,2,,,28766,0,1,0
3178,6340.33343039375,2,1,1,1,1,240404.84,4651.2,300,35652.6,2,2,2,4256.8,,,,3,1,1,0,19196.08329,3,1,1,3,2,0.8,1,0,0,0,1,1,49026.8,76320.032,,0,0,0,67083.4,0,0,1,67083.4,0,0,0,0,0,0,0,0,1,67083.4,0,222348.24,4256.8,374659.672,307576.272,3.4,0,0,0,600,3600,3600,0,0,1,9958.6,1,0,1,10,1,2,600,240404.84,1,0,1,2,,,3,,,,6,0,,,,0,,2,2,12256.7,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,67083.4,1,0
3179,601.087618705564,2,,2,2,2,120202.42,,,3606.07,2,2,2,601.01,,,,2,1,1,0,9851.5,1,5,5,1,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120202.42,601.01,120803.43,120803.43,2,0,0,0,0,4800,357.6,0,0,1,601.01,1,1,1,2,1,2,0,120202.42,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
3180,1735.25336897742,2,,2,2,2,79306.4,,,6000,2,2,2,27000,,,,3,1,1,0,21036.582,3,4,5,1,1,0,1,1,0,0,1,1,0,0,,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79306.4,37000,116306.4,116306.4,2,0,0,0,0,9600,7200,0,0,1,6000,1,1,1,2,1,2,0,79306.4,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
3181,2064.4753498118,2,,1,2,2,240404.84,,,42070.85,2,2,2,3000,,,,5,1,1,0,43627.460431875,4.8,3,1,1,1,0,1,0,1,0,1,1,30050.61,0,,0,2400,0,0,1,54091.09,0,0,0,0,1,6010.12,0,0,0,0,1,60101.21,6010.12,216364.36,5400,275855.45,215754.24,3,0,0,6010.12,740.399993896484,7212.1201171875,3606.1201171875,0,0,1,12020.24,0,0,2,6,1,2,0,240404.84,,0,1,1,,,4,,,,8,0,,,,0,,2,2,7512.6525,500,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,1,,,0,54091.09,1,2400
3182,361.22836123338,2,,2,1,2,360607.26,,1800,18000,2,2,2,300,,,,2,1,1,0,14311.637,2,5,5,1,0,0,1,1,0,0,1,1,0,0,,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360607.26,700,361307.26,361307.26,4,0,0,0,0,8400,3600,0,0,0,0,1,1,2,6,2,2,0,360607.26,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
3183,2258.35787087429,2,,1,2,1,240404.84,1810.8,,28332.2,2,2,2,1500,,,,5,1,1,0,23866.3476,3,3,2,1,2,1,1,0,0,0,1,1,210354.24,37990.2,,0,0,0,0,1,18030.36,0,0,0,0,1,48080.97,0,0,0,0,1,66111.33,48080.97,432728.72,1500,492060.08,425948.75,4,48080.97,0,0,1498.60999755859,7212.1201171875,10818.240234375,0,0,1,12020.24,1,0,1,2,1,2,0,240404.84,,0,1,1,,,1,,,,2,0,,,,0,,2,2,52588.56,480.809997558594,,,,,0,1,0,0,0,0,0,0,2,2,2,1,,2,2,1,0,18030.36,1,0
3184,1950.30757254036,2,,1,2,2,122960.8,,,18030.36,2,2,1,1502.53,,,30050.61,2,1,1,0,12444,2,6,4,1,0,0,1,0,0,0,1,1,45075.91,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168036.71,31553.14,199589.85,199589.85,3,0,0,0,0,9303.4801574707,10529.8801940918,1,12020.24,1,12020.24,1,0,2,2,1,2,0,122960.8,,0,2,2,1,,1,4,,,8,0,,,,0,,2,2,11268.9775,0,,,1502.5300234375,,0,0,0,0,0,0,1,0,0,0,1,0,,2,,,30050.61,0,1,0
3185,1325.86028261066,3,,2,1,2,,,300.51,6010.12,2,2,2,540.91,,,,2,0,1,0,11407,2,4,5,1,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.91,540.91,540.91,1,0,0,0,0,2580,16620,0,0,1,480.81,1,1,1,4,,3,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,,,0,0,0,0
3186,1945.43437520051,2,,2,2,2,210354.24,,,15025.3,2,2,2,600,,,,2,1,1,0,8296,1,6,4,1,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210354.24,600,210954.24,210954.24,3,0,0,0,0,4800,2400,0,0,1,1202.02,1,1,2,2,1,2,0,210354.24,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,0,,2,,,0,0,0,0
3187,5229.87027259843,1,,2,2,2,,,,7371,2,2,2,1000,,,,2,0,1,0,18292.68,2,1,1,1,1,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1,0,0,0,0,3600,1800,0,0,1,2200,1,1,1,4,,1,0,,,0,,,,,,,,,,0,,,,0,,1,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
3188,12725.79357123,1,,2,1,1,,6010.12,1000,12020.24,2,2,2,745,,,,3,0,1,0,56323.618,5.2,3,1,2,3,0,1,1,1,0,1,1,0,0,,15228.2,384.6,0,0,0,0,0,0,0,0,1,1300,0,0,0,0,1,1300,1300,0,16357.8,22367.92,21067.92,1,0,0,1300,150,4800,2400,0,0,1,3005.06,0,1,2,8,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,0,0,384.6
3189,2795.89490318991,2,1,1,1,2,168283.39,,1200,12000,2,2,2,6000,,,,2,1,1,0,23851,3,4,1,2,1,0,1,0,1,0,1,1,18000,0,,0,24000,0,31853.64,0,0,1,31853.64,0,0,1,1800,0,0,0,0,1,33653.64,1800,154429.75,30000,216283.39,182629.75,3,0,1800,0,390,8400,6000,0,0,1,9000,0,0,1,9,1,2,330,168283.39,1,0,2,1,1,,4,4,,,3,0,,,,0,,2,2,4500,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,31853.64,1,24000
3190,2117.29413617788,97,,1,2,2,,,,50,2,1,2,300,,,,2,0,1,0,6533.1,1,6,5,1,0,0,1,1,0,0,1,1,1401.01,0,18000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401.01,48300,49701.01,49701.01,1,0,0,0,0,10800,5040,0,0,0,0,1,0,1,2,,97,0,,,0,15,2,2,2,3,3,3,3,6,0,,,,0,,2,,350.2525,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,,,18000,0,1,0
3191,69.850089473267,2,2,1,2,2,250000,,,60000,1,1,2,7080.6,2e+05,,,2,1,1,0,105792.0438,6,5,6,2,0,0,1,1,0,0,1,1,9e+05,0,109919,25220.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,450000,1,450000,450000,1150000,342219.8,1492219.8,1042219.8,5,0,450000,0,11000,8400,2400,0,0,1,600,1,0,1,9,1,2,0,250000,2,0,5,1,1,1,1,8,8,8,2,0,37000,,,0,,2,1,225000,0,1000,,,,0,0,0,1,0,0,0,0,0,0,2,0,1,2,,,309919,0,1,0
3192,1890.51674985553,2,,2,2,2,120202.42,,,3000,2,2,2,200,,,,2,1,1,0,20963.5772,2.6,6,5,1,1,0,1,1,0,0,1,1,0,0,,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120202.42,500,120702.42,120702.42,2,0,0,0,0,2400,3600,0,0,0,0,1,1,2,2,1,2,0,120202.42,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,,,0,0,0,0
3193,1529.98799372431,2,2,1,2,2,150253.03,,,1803.04,2,2,2,200,,,,3,1,1,0,13066.2,2,2,1,2,1,0,1,0,0,0,1,1,66111.331,0,,0,0,0,0,1,96161.94,0,0,0,0,0,0,0,0,0,0,1,96161.94,0,120202.421,200,216564.361,120402.421,2,0,0,0,590,2400,8400,0,0,1,3005.06,1,0,2,9,1,2,0,150253.03,2,0,2,1,2,,1,3,,,5,0,,,,0,,2,2,30050.605,590,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,96161.94,1,0
3194,167.409458242333,2,,2,1,2,698432.8,,1200,17919.8,2,1,2,3000,,,,3,1,1,0,52558.6858,5,3,1,3,1,0,1,0.8,0,0,1,1,0,0,120000,46157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698432.8,169157,867589.8,867589.8,5,0,0,0,0,10320,7680,0,0,1,2795.6,1,1,2,10,1,2,0,698432.8,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,120000,0,0,0
3195,56.1582734295738,2,,1,2,1,273346.8,19044.6,,59852.2,1,2,1,4e+05,40000,,250000,4,1,1,0,125152.2116,6,3,2,3,1,0,1,0,1,0,1,1,1078924.4,0,,0,37438.4,0,0,1,120000,0,0,0,0,0,0,0,0,0,0,1,120000,0,1232271.2,727438.4,2098754.2,1978754.2,5,0,0,0,730,6988.8,11011.2,0,0,1,40000,0,0,1,10,2,2,0,273346.8,,0,3,1,1,3,1,1,1,1,7,0,,,,0,,1,,269731.1,730,1133.6,,5950.2,,0,1,0,0,0,0,0,0,2,2,2,1,,1,2,1,290000,120000,1,37438.4
