h_2005,facine3,p2_1,p2_8,p2_32,p2_69,p2_82,p2_5,p2_84,p2_70,p2_71,p4_10,p4_27,p4_33,p4_7_3,p4_15,p4_24,p4_35,np1,np2_1,np4_5,np4_18,renthog,percrent,bage,nsitlabdom,neducdom,nnumadtrab,havenegval,tienereal,cuentas,penseg,sideuda,tienefin,tiene,otraspr,valhog,allf,salcuentas,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,deuda_tarj,ptmos_tarj,otrasd,potrasd,adeuda,vdeuda,deuotros,actreales,actfinanc,riquezabr,riquezanet,percriq,deuinvref,deuveh,deubie,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,p5_1,multipr,sex,educ,p2_2,p2_1.1,pagopr_vivpr,np2_5,p2_8.1,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1.1,empre,auton,riquezafin,deuda_vivienda,s6_owner,valor
334,193.161392540264,2,,1,1,1,360607.26,3000,2100,18030.36,2,2,2,6400,,,,3,1,1,0,222304.3862,6,4,2,2,2,1,1,1,1,0,1,1,180303.63,130000,,4000,16000,0,0,0,0,0,0,0,0,1,19300,0,0,0,0,1,19300,19300,540910.89,26400,700310.89,681010.89,5,19300,0,0,370,9288,312.000000000002,0,0,1,6000,0,0,1,6,1,2,0,360607.26,,0,1,1,,,6,,,,3,0,,,,0,,2,1,45075.9075,0,,,,,0,1,0,0,0,0,0,0,2,2,2,1,,1,2,1,0,0,1,16000
335,3322.59608902087,2,1,1,2,2,240404.84,,,37612.8,2,2,2,1000,,,,4,1,1,0,54706.7276,5,4,1,2,2,0,1,0,0,0,1,1,240404.84,0,,0,0,0,18030.36,0,0,1,18030.36,0,0,0,0,0,0,0,0,1,18030.36,0,462779.32,1000,481809.68,463779.32,4,0,0,0,192.320007324219,7200,7200,0,0,1,11524,1,0,1,9,1,2,192.320007324219,240404.84,1,0,1,1,,,1,,,,2,0,,,,0,,2,2,60101.21,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,2,,,0,18030.36,1,0
336,137.736981235798,2,2,1,2,1,1e+06,12020.24,,48080.97,1,1,2,15000,30000,34257,,2,1,1,1,30417.284,4,6,6,2,1,1,1,0,0,0,1,1,240404.85,450759.08,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240404.85,115257,1818441.17,1818441.17,5,0,0,0,0,8400,9600,0,0,1,601.01,1,0,1,6,1,2,0,1e+06,2,0,2,1,1,,6,8,,,3,301,3612,,,0,,2,2,60101.2125,0,1200,,,34257,0,1,0,0,0,0,0,0,2,2,2,2,1,2,2,2,100257,0,1,0
337,5363.93144193889,2,,2,2,2,59492.2,,,5000,1,2,2,982.4,1842.8,,,1,1,1,0,6118.3,1,6,5,1,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59492.2,2825.2,62317.4,62317.4,1.2,0,0,0,0,3360,2640,0,0,0,0,1,1,2,2,2,2,0,59492.2,,0,,,,,,,,,,0,,,,0,,2,2,0,0,136,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,1842.8,0,0,0
338,1827.65065178557,2,2,2,1,2,210354.24,,4000,30050.61,2,2,2,3000,,,,3,1,1,0,30347.92944,4,5,5,1,1,1,1,1,0,0,1,1,0,18000,,30000,0,0,0,0,0,0,0,1,69000,1,2000,0,0,0,0,1,71000,71000,210354.24,33000,261354.24,190354.24,3,0,2000,69000,430,7200,7200,0,0,1,2000,1,1,1,2,1,2,0,210354.24,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
339,1927.03288920374,3,,2,1,2,,,420.71,8398,2,2,2,1342.8,,,,1,0,1,0,11583.29,1.4,6,5,1,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342.8,1342.8,1342.8,1,0,0,0,0,4135.2,3024,0,0,0,0,1,1,2,2,,3,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
340,2699.39320063809,2,1,2,2,2,240404.84,,,9015.18,1,1,2,3000,12000,,,4,1,1,0,27999,3.4,3,1,3,2,0,1,0,1,0,1,1,0,0,6000,0,15251.2,0,42070.85,0,0,1,42070.85,0,0,0,0,0,0,0,0,1,42070.85,0,198333.99,36251.2,276656.04,234585.19,3,0,0,0,600,7200,14400,0,0,1,4000,0,1,1,12,1,2,600,240404.84,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,56.6,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,18000,42070.85,0,15251.2
341,13.4606628249158,1,,1,1,1,,60101.21,6010.12,45000,2,1,2,12020.24,,,,2,0,1,0,1161053.18873127,6,6,4,1,0,0,1,0,0,0,1,1,631062.71,0,1141922.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631062.71,1153943.23,1845107.15,1845107.15,5,0,0,0,0,4800,2400,0,0,1,5000,1,0,2,2,,1,0,,,0,3,1,1,2,1,1,1,1,2,0,,,,0,,2,,172790.98,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,,,1141922.99,0,1,0
342,133.749696903676,2,2,2,2,2,240000,,,3000,2,2,2,11239.6,,,,3,1,1,0,48113.0668,4.4,3,1,2,2,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,4000,0,0,0,0,1,4000,4000,240000,11239.6,251239.6,247239.6,3,0,4000,0,300,4800,7200,0,0,1,7200,1,1,1,6,1,2,0,240000,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
343,483.874046877536,2,,1,2,2,94031,,,24000,2,2,2,30000,,,,5,1,1,0,42998.168,4.4,3,6,1,1,1,1,0,1,1,1,1,1071374.36,204645.525,,0,100970.04,118398,0,0,0,0,0,0,0,0,0,0,0,1,118669.95,1,118669.95,118669.95,1165405.36,249368.04,1619418.925,1500748.975,5,0,0,118669.95,3390.57006835938,9600,8400,1,14200,1,14000,0,0,1,4,1,2,0,94031,,0,16,1,1,1,1,5,8,8,2,1622,19464,,,0,,2,2,267843.59,0,,,,,0,1,0,0,0,0,0,0,2,2,2,2,1,1,2,3,0,0,1,10818.22
