h_number,facine3,p2_1,p2_5,p2_8,p2_32,p2_69,p2_70,p2_71,p2_82,p2_84,p4_7_3,p4_10,p4_15,p4_24,p4_27,p4_33,p4_35,renthog,percrent,bage,nsitlabdom,neducdom,np2_1,nnumadtrab,np1,valhog,havenegval,tienereal,np4_5,np4_18,cuentas,penseg,sideuda,tienefin,tiene,otraspr,allf,salcuentas,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,otrasd,potrasd,adeuda,vdeuda,actreales,actfinanc,riquezabr,riquezanet,percriq,deuveh,deubie,deuinvref,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,p5_1,multipr,sex,educ,p2_2,p2_1.1,pagopr_vivpr,np2_5,p2_8.1,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1.1,empre,auton,riquezafin,deuda_vivienda,s6_owner,valor
1544,268.429308042523,2,150000,,1,2,,24000,2,,6000,2,,,1,2,,31000,4,3,2,2,1,1,5,110000,1,1,1,0,1,0,0,1,1,87246.6,1e+05,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237246.6,236000,583246.6,583246.6,5,0,0,0,0,7200,16800,0,0,1,12000,1,0,1,8,1,2,0,150000,,0,3,1,1,1,3,3,3,3,6,0,,,,0,,2,2,21811.65,0,,,,,0,1,0,0,0,0,0,0,2,2,2,2,,2,2,1,1e+05,0,1,0
1545,3757.58832178229,2,15000,,2,2,,12000,2,,2400,2,,,2,2,,27166,4,3,1,1,1,3,4,0,0,1,1,0,1,0,0,1,1,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,23400,38400,38400,1,0,0,0,0,7200,7200,0,0,1,21000,1,1,1,2,1,2,0,15000,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
1546,4093.0042250015,2,150000,,2,2,,12000,1,7000,3605,2,,,2,2,,35915,4,2,2,2,1,1,4,20000,1,1,1,0,0,1,0,1,1,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,13605,190605,190605,4,0,0,0,0,20640,9360,0,0,1,12500,1,1,1,9,1,2,0,150000,,0,,,,,,,,,,0,,,,0,,2,1,0,0,,,,,0,1,0,0,0,0,0,0,2,2,1,1,,2,2,1,0,0,0,0
1547,5901.63958982398,2,120202,1,1,1,360,5400,2,,1400,2,,,2,2,,31631,4,3,1,2,1,2,5,0,0,1,1,0,0,1,0,1,1,21035,0,0,1600,0,19274.6,0,0,1,19274.6,0,0,1,1757,0,0,1,21031.6,121962.4,3000,144237,123205.4,3,0,0,1757,432,7200,4320,0,0,1,2400,0,0,1,6,1,2,312,120202,1,0,1,1,,,1,,,,2,0,,,,0,,2,2,5258.75,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,19274.6,1,1600
1548,401.925075280846,1,,,2,2,,4508.8,2,,10,2,,,2,2,,4200,1,2,1,2,0,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,1,0,0,0,0,4800,2400,1,300,1,300,1,1,1,7,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
1549,3235.64246951577,2,72121,,2,2,,600,2,,450,2,,,2,2,,6300,1,6,5,1,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72121,450,72571,72571,2,0,0,0,0,2880,1920,0,0,1,450,1,1,1,2,2,2,0,72121,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
1550,279.428434536895,2,149773,,2,2,,6087.2,2,,2882.2,2,,,2,2,,6000,1,5,4,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149773,2882.2,152655.2,152655.2,3.2,0,0,0,0,2400,3600,0,0,0,0,1,1,2,2,1,2,0,149773,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,0,,2,,,0,0,0,0
1551,5184.45509132513,2,60000,1,1,1,444,9000,2,,1200,2,,,2,2,,17550.6,2.2,2,2,2,1,1,4,48080,1,1,1,0,0,0,0,1,1,48080,0,0,0,0,14800,0,0,1,2800,0,0,1,3000,0,0,1,17800,93280,1200,157360,139560,3,0,3000,0,509.8,3096,3504,0,0,1,2400,1,0,1,6,1,2,400,60000,1,0,1,2,,,2,,,,3,0,,,,0,,2,2,12020,0,,,,,0,1,0,0,0,0,0,0,2,2,2,1,,2,2,1,0,14800,1,0
1552,220.90283012841,2,180000,1,1,2,,18000,2,,9000,1,3600,,1,2,,46137,5,3,1,3,1,1,2,0,0,1,1,0,0,1,0,1,1,16000,4200,0,1200,0,16000,0,0,1,16000,0,0,0,0,0,0,1,16000,180000,18000,214000,198000,4,0,0,0,156,2400,3600,0,0,1,7200,0,0,2,10,1,2,156,180000,1,0,1,1,,,1,,,,4,100,1200,,,0,,2,2,4000,0,15,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,7800,16000,1,1200
1553,3558.64173237189,2,146000,,2,1,920,20000,2,,12037.8,2,,,2,2,,39249,4.4,5,5,1,1,1,3,103360.6,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146000,12037.8,261398.4,261398.4,3.6,0,0,0,0,7200,10800,1,12300,1,10000,1,1,1,2,1,2,0,146000,,0,,,,,,,,,,0,,,,0,,2,1,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
