h_2008,facine3,p2_69,p2_84,p2_70,p4_7_3,p4_15,p4_24,p4_35,p4_43,np1,np2_1,np2_82,np2_5,np2_8,np4_5,np4_10,np4_18,np4_33,np4_27,renthog,percrent,bage,nsitlabdom,neducdom,nnumadtrab,haveneg,havenegval,tienereal,cuentas,np5_1,seguro,penseg,cart_gest,valdeuhog,havedeuhog,sideuda,tienefin,tiene,otraspr,valhog,allf,salcuentas,valor,valseg,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,deuda_tarj,ptmos_tarj,otrasd,potrasd,adeuda,vdeuda,deuotros,actreales,actfinanc,riquezabr,riquezanet,percriq,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,multipr,sex,educ,p2_2,p2_1,pagopr_vivpr,np2_5.1,p2_8,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1,empre,auton,riquezafin,deuda_vivienda,s6_owner
1972,410.178647825271,1,,320,2000,,,,,3,1,0,601012,2,1,0,0,0,0,58232,5,3,5,3,1,0,0,1,1,0,0,0,0,0,0,0,1,1,228384.5,0,,10000,0,0,0,0,0,0,0,0,0,1,16000,1,17000,0,0,0,0,1,33000,33000,829396.5,12000,841396.5,808396.5,5,660,10800,20400,1,16000,1,20000,1,1,12,1,2,0,601012,2,0,2,1,2,,1,1,,,2,0,,,,0,,2,2,76629,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,1
1973,248.368743122477,2,,,2000,,,,,3,1,0,240405,2,1,0,0,0,0,18875.2,2,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,30051,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270456,2000,272456,272456,3,0,5160,4440,0,0,1,500,1,2,2,1,2,0,240405,2,0,1,1,,,3,,,,1,0,,,,0,,2,2,7512.75,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,0,,0,0,1
1974,4528.15612629822,2,,,1500,,,,,2,0,0,,0,1,0,0,0,0,33935.2,4,1,1,3,2,0,0,1,1,0,0,0,0,0,0,0,1,1,80000,0,,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,21500,101500,101500,2,0,7200,8400,0,0,1,2000,1,1,10,,1,0,,,0,1,3,,,1,,,,6,0,,,,0,,1,,20000,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,0,1
1975,3154.76162791754,1,,1000,3000,601,,,,2,1,0,300506,0,1,1,0,0,0,44477.2,4,3,1,2,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,,0,19000,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300506,22601,323107,323107,3.8,0,7538.4,4461.6,0,0,1,1000,0,1,6,1,2,0,300506,,0,,,,,,,,,,0,,,,0,,2,2,0,0,0,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,0,,601,0,0
1976,222.411268901946,2,,,9000,,,,,5,0,0,,0,1,0,0,0,0,56636.8448,5,4,6,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39000,39000,39000,1,0,4800,19200,0,0,1,40000,0,1,4,,3,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,,0,0,0
1977,1418.24994737259,2,15025,,6000,45000,,,,2,1,1,270455,0,1,1,0,0,0,71857.284,6,5,2,3,1,1,0.8,1,1,0,0,0,0,12302.4,0.4,0.4,1,1,420709,159222,,270000,0,0,0,12302.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691164,333302.4,1198713.4,1198713.4,5,0,4800,12000,0,0,1,1000,1,1,12,1,2,0,270455,,0,2,1,1,,1,6,,,2,0,,,,0,,2,2,105177.25,0,0,,,,0,1,0,0,0,0,0,0,2,2,2,1,,2,1,2.8,45000,0,1
1978,3042.64389052736,2,,,,,,,,2,1,0,168283,0,0,0,0,0,0,20381.2,2,3,4,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168283,4000,172283,172283,2,0,4200,10800,0,0,1,5000,0,2,4,1,2,0,168283,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,0,,2,0,,0,0,0
1979,3100.09385090893,2,,,0,,,,,2,1,0,240405,2,0,0,0,0,0,24698.4,3,4,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,180304,1,5000,0,0,0,0,1,185304,185304,240405,0,240405,55101,1,1284,7740,60.0000000000009,0,0,0,0,0,2,2,1,2,0,240405,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,0,0
1980,3669.25828363726,2,,,33000,,,,,1,0,0,,0,1,0,0,0,0,13337.3368,1.6,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000,33000,33000,1,0,5160,2040,0,0,0,0,0,2,4,,3,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,0
1981,50.595280786325,2,24076.6,,60101,,,150253,,2,1,1,540911,0,1,0,0,1,0,27268.64,3,6,4,3,0,0,0,1,1,0,0,0,0,0,0,0,1,1,300506,0,,300506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841417,510860,1376353.6,1376353.6,5,0,8400,6000,0,0,1,12020,1,2,6,2,2,0,540911,,0,1,1,,,1,,,,2,0,,,,0,,2,2,75126.5,0,,,10818,,0,0,0,0,0,0,1,0,0,0,1,0,,2,0,,150253,0,1
