year,regten,bage,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet,ratio_mean_wealth,ratio_median_wealth,ratio_mean_renthog,ratio_median_renthog
2011,Alquiler,Entre 65 y 74 anos,19598.4973951549,12720,60680.948659162,2000,0.951632764064441,0.4,0.692199436806744,0.598678389216259
2011,Alquiler,Mayores de 74 anos,18843.2696194024,16437.4,78039.3342705741,6864.2,1.22385672964331,1.37284,0.665525542859859,0.773641207146488
2011,Alquiler,Menor de 35 anos,28313.3680165455,21246.8,63765.0898020709,5000,1,1,1,1
2011,Casero,Entre 35 y 44 anos,54245.2479135929,43700,317449.807684569,205542.4,4.97842641906323,41.10848,1.91588820806813,2.05678031515334
2011,Casero,Entre 45 y 54 anos,71542.7218515857,45393.8,747771.699563326,417681,11.7269763421401,83.5362,2.52681778479262,2.13650055537775
2011,Casero,Entre 55 y 64 anos,105172.795330642,48183,1704526.61539014,1145461.8,26.7313450146632,229.09236,3.71459853413349,2.26777679462319
2011,Casero,Entre 65 y 74 anos,58399.9325866513,44906,1359005.23584154,753368.85,21.3126844180717,150.67377,2.06262753878394,2.11354180394224
2011,Casero,Mayores de 74 anos,46150.3473464626,27403.2,1097066.74232372,676965.2,17.2048176475413,135.39304,1.6299843706158,1.28975657510778
2011,Casero,Menor de 35 anos,61899.1579892287,60195,286977.889583986,164427.68,4.50054866188969,32.885536,2.18621669993681,2.8331325187793
2011,Cesion,Entre 35 y 44 anos,20380.9229993427,20254.2,45350.0574702171,8044.6,0.71120510628912,1.60892,0.719833931005052,0.953282376640247
2011,Cesion,Entre 45 y 54 anos,22078.6035813183,20200,72531.3888174518,22102.4,1.13747803135841,4.42048,0.779794320775128,0.950731404258524
2011,Cesion,Entre 55 y 64 anos,22282.9709857259,18250,122538.727776649,3600,1.92172124523016,0.72,0.787012374250367,0.858952877609805
2011,Cesion,Entre 65 y 74 anos,12008.152565402,9565.2,29238.6711025792,6000,0.458537284168141,1.2,0.424116006205435,0.450194852871962
2011,Cesion,Mayores de 74 anos,12884.2786214657,10220,61263.0015725155,4590.4,0.960760845200375,0.91808,0.455059907176586,0.481013611461491
2011,Cesion,Menor de 35 anos,19755.9839316027,17498,23018.6684154145,7700,0.360991703875354,1.54,0.697761704649827,0.823559312461171
2011,Propiedad,Entre 35 y 44 anos,32861.4146392849,28168,200700.872153496,140267,3.1475039520289,28.0534,1.16063248357036,1.32575258391852
2011,Propiedad,Entre 45 y 54 anos,39347.7609916993,30154.4,262745.129173885,182372.8,4.1205168845438,36.47456,1.38972378590585,1.41924430973135
2011,Propiedad,Entre 55 y 64 anos,43700.9222526554,30936,381832.472859646,246195.4,5.9881115833894,49.23908,1.54347311231634,1.4560310258486
2011,Propiedad,Entre 65 y 74 anos,27456.5723381594,18836.4,328726.588438525,211221.04,5.15527523695025,42.244208,0.969738828743883,0.886552327879963
2011,Propiedad,Mayores de 74 anos,17982.4437432426,12034,257453.934524439,166707,4.03753739426362,33.3414,0.635122029026506,0.56639117420035
2011,Propiedad,Menor de 35 anos,34513.1818360187,28199.8,111802.279179594,84424.9,1.75334622011248,16.88498,1.21897125823569,1.32724927989156
2014,Alquiler,Entre 35 y 44 anos,22212.0536356706,15040,51421.2004189105,520,4.578339519757,1.01960784313725,0.883195790439938,0.76734693877551
2014,Alquiler,Entre 45 y 54 anos,38253.1035113254,16900,106716.876619676,4800,9.50164697970011,9.41176470588235,1.52102009776395,0.862244897959184
2014,Alquiler,Entre 55 y 64 anos,16395.0138103416,12240,40413.4309488927,604,3.59825143199577,1.1843137254902,0.651898623108164,0.624489795918367
2014,Alquiler,Entre 65 y 74 anos,16960.5476532216,11600,31029.614394823,450,2.7627536640392,0.882352941176471,0.674385382665634,0.591836734693878
2014,Alquiler,Mayores de 74 anos,16617.5268040231,14000,172330.307563095,2373.6,15.3436063557521,4.65411764705882,0.660746185902721,0.714285714285714
2014,Alquiler,Menor de 35 anos,25149.6371202204,19600,11231.408286129,510,1,1,1,1
2014,Casero,Entre 35 y 44 anos,56655.9607344311,47780,319412.535921915,160563.4,28.4392239855082,314.830196078431,2.25275460093536,2.43775510204082
2014,Casero,Entre 45 y 54 anos,50704.4128296969,37700,576963.341173938,365490.4,51.3705250913637,716.647843137255,2.01610912266128,1.9234693877551
2014,Casero,Entre 55 y 64 anos,57701.8797522071,44796,958513.983185873,682156.8,85.3422793265969,1337.56235294118,2.29434243827776,2.28551020408163
2014,Casero,Entre 65 y 74 anos,55440.1197595894,46040,1158259.65429449,908281.2,103.126840800986,1780.94352941176,2.20441032586571,2.34897959183673
2014,Casero,Mayores de 74 anos,48007.9510140972,38825.2,923048.306691924,553650.8,82.1845563064348,1085.58980392157,1.90889239413712,1.98087755102041
2014,Casero,Menor de 35 anos,27723.6231838885,7440,310946.698297719,-42800,27.685459416674,-83.921568627451,1.10234684704849,0.379591836734694
2014,Cesion,Entre 35 y 44 anos,20481.9594022569,17020,30436.3494294241,12300,2.7099317070517,24.1176470588235,0.814403774668754,0.868367346938775
2014,Cesion,Entre 45 y 54 anos,19861.0979692904,18000,54031.998149498,11100,4.8107945836346,21.7647058823529,0.789717079190858,0.918367346938776
2014,Cesion,Entre 55 y 64 anos,20845.5159405058,12756,45630.3764740615,223.4,4.06274754791133,0.438039215686275,0.82885951160488,0.650816326530612
2014,Cesion,Entre 65 y 74 anos,16181.8401375292,14160.8,43917.3860586086,920,3.91022968267012,1.80392156862745,0.643422410437843,0.722489795918367
2014,Cesion,Mayores de 74 anos,15927.8196543282,13780.8,72641.3780393235,3741,6.4676998813263,7.33529411764706,0.633322046683615,0.703102040816327
2014,Cesion,Menor de 35 anos,16187.8605580908,13200,10083.5889021256,378.4,0.897802719413118,0.741960784313726,0.643661794431053,0.673469387755102
2014,Propiedad,Entre 35 y 44 anos,34480.6666584533,31160.8,127183.134940122,90934.4,11.3238813602027,178.302745098039,1.37102044429622,1.58983673469388
