year,regten,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet,ratio_mean_wealth_alq,ratio_median_wealth_alq,ratio_mean_income_alq,ratio_median_income_alq,mean_renthog_IPC,median_renthog_IPC,mean_riquezanet_IPC,median_riquezanet_IPC
2017,Cesion,19491.3862980709,14918.8,45774.7070946015,3000,1.37162896893207,2.1551724137931,0.844800150799647,0.846533586027668,21336.6957748691,16331.2086712694,50108.3393723471,3284.01922499183
2017,Casero1,64809.8165595983,44420.2,648140.165077469,336288.6,19.4213766242431,241.586637931035,2.80900198505968,2.52052384897352,70945.561183305,48625.5969259941,709501.587534596,368126.07584853
2017,Casero2,71374.8299138528,62810.6,1066831.2655631,658292.6,31.9673628011349,472.911350574713,3.09354430477271,3.56404553037439,78132.1045392049,68757.072644424,1167831.4619772,720615.184689953
2017,Casero3,111796.670193749,65600,1911186.74133479,1289508.2,57.2682877912472,926.370833333333,4.84551700911725,3.72232372867892,122380.804735448,71810.5537198214,2092124.66703098,1411589.9065282
2017,Casero4+,84336.4239366185,65620,1657388.08615438,1574185,49.663267250056,1130.88002873563,3.65532869596914,3.72345858347424,92320.8125249722,71832.4471813214,1814298.11273447,1723217.93456459
2020,Alquiler,24783.6295571593,20780.2,33425.9034249314,1080,1,1,1,1,26423.5449706836,22155.2112830537,35637.6720486956,1151.46284375021
2020,Propiedad,36621.938097928,30000,284984.3012081,153959.4,8.52585186958744,142.555,1.47766645775049,1.44368196648733,39045.1860980409,31985.0789930613,303841.512864115,164146.785690811
2020,Cesion,27739.0855410462,16666.2,78468.1953607846,10000,2.34752653842282,9.25925925925926,1.11925032921714,0.802023079662371,29574.5614075216,17768.9907838053,83660.380901922,10661.6929976871
2020,Casero1,65617.6857155949,49012.6,638311.268325027,369041.4,19.0963056468634,341.705,2.64762211540721,2.3586202250219,69959.5620318391,52255.7294218439,680547.877984571,393460.611023664
2020,Casero2,82152.155150017,70600,1083310.86425599,617834.5,32.4093219107425,572.068981481482,3.31477497920741,3.39746489446685,87588.105730784,75271.5525636709,1154992.78557564,658716.176237951
2020,Casero3,80245.1895178496,49960,1367888.36261443,1142000,40.9230034929785,1057.40740740741,3.23783041272374,2.40421170152357,85554.9575180531,53265.8182164447,1458400.57773039,1217565.34033587
2020,Casero4+,109804.172622081,75000,2931865.13068259,823001.2,87.7123676632118,762.038148148148,4.43051218018072,3.60920491621832,117069.837836167,79962.6974826532,3125864.59339615,877458.613112808
2022,Alquiler,26763.1306204885,21335.2,33362.5142772346,2217.8,1,1,1,1,26763.1306204885,21335.2,33362.5142772346,2217.8
2022,Propiedad,40718.113232466,32120.4,324221.382771558,193919.4,9.71813395349507,87.4377310848589,1.52142564372847,1.50551201769845,40718.113232466,32120.4,324221.382771558,193919.4
2022,Cesion,23946.8086276209,18392.2,112620.475150221,14054.4,3.37565910693575,6.33709081071332,0.894768589190697,0.862058944842326,23946.8086276209,18392.2,112620.475150221,14054.4
2022,Casero1,63288.029467554,50959.6,771818.501033753,407975.2,23.1343026074152,183.95491027144,2.36474687378702,2.38852225430275,63288.029467554,50959.6,771818.501033753,407975.2
2022,Casero2,90337.3027932804,74808.4,2053521.41791224,972189.6,61.5517583851136,438.357651726937,3.37543854918537,3.50633694551727,90337.3027932804,74808.4,2053521.41791224,972189.6
2022,Casero3,99381.0096660979,83898.4,1370325.48207259,1069029,41.0738072881891,482.022274325909,3.71335517788852,3.93239341557614,99381.0096660979,83898.4,1370325.48207259,1069029
2022,Casero4+,193065.18532178,213120,2271577.31518287,1519186.4,68.0877135430082,684.997024077915,7.21384908438099,9.98912595147925,193065.18532178,213120,2271577.31518287,1519186.4
