year,bage,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet,mean_renthog_IPC,median_renthog_IPC,mean_riquezanet_IPC,median_riquezanet_IPC
2017,Entre 65 y 74 anos,33603.0250349304,24867.2,368477.405388109,180544.6,36784.3267441978,27221.4542905723,403362.29442322,197637.312456153
2017,Mayor de 74 anos,22916.1290203007,15259.8,333782.721418166,129520.8,25085.6694216869,16704.4921898435,365382.958035783,141782.932412107
2020,Menor de 35 anos,31612.703799125,28255.8,68168.4549288547,23968.6,33704.4942733087,30125.4665004047,72679.1138578119,25554.5854784363
2020,Entre 35 y 44 anos,39740.6573906855,33299.2,139997.157449773,70000,42370.2688625753,35502.5847468582,149260.671327834,74631.8509838097
2020,Entre 45 y 54 anos,37388.6777300531,30583.8,268697.045625521,116480.84,39862.6603547287,32607.5086302663,286476.540984483,124188.295619271
2020,Entre 55 y 64 anos,43837.1522893608,32011,330425.759506107,160650.2,46737.8259602021,34129.1454548962,352289.80063817,171280.311241703
2020,Entre 65 y 74 anos,34655.3805130184,26010.8,363660.291799466,197925.4,36948.502774783,27731.916422424,387723.438661521,211021.985124442
2020,Mayor de 74 anos,27397.5805707614,17647.8,381243.572277328,165187.8,29210.4592924855,18815.5425684582,406470.19249624,176118.161056334
2022,Menor de 35 anos,31373.3036025503,26900,76839.4985364313,20069.4,31373.3036025503,26900,76839.4985364313,20069.4
2022,Entre 35 y 44 anos,40389.5871897141,32326.6,185342.906332369,76932.8,40389.5871897141,32326.6,185342.906332369,76932.8
2022,Entre 45 y 54 anos,43141.9217216373,34200,257792.071684505,128172.6,43141.9217216373,34200,257792.071684505,128172.6
2022,Entre 55 y 64 anos,44961.1294141034,32822.2,388459.110157747,189872.6,44961.1294141034,32822.2,388459.110157747,189872.6
2022,Entre 65 y 74 anos,38646.7683038352,27416.6,442044.618239681,223960.25,38646.7683038352,27416.6,442044.618239681,223960.25
2022,Mayor de 74 anos,28087.8704321976,19651.6,454993.059679048,221254.4,28087.8704321976,19651.6,454993.059679048,221254.4
